AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Aquilegia caerulea,AQCO,"Sow seeds outside in fall or divide mature plants in late summer or early fall. Seeds need light to germinate, so scratch only lightly into the soil.","Sow seeds outside in fall or divide mature plants in late summer or early fall. Seeds need light to germinate, so scratch only lightly into the soil."
Rosa nutkana,RONU,Seeds removed from dried hips germinate slowly; outside stratification over a winter helps. Small offsets from the parent root transplant well.,Seeds removed from dried hips germinate slowly; outside stratification over a winter helps. Small offsets from the parent root transplant well.
Physostegia virginiana,PHVI8,Propagate by division of roots or by seed. Plant seeds in fall or in spring after damp stratification. Clumps that form from spreading stolons can be divided in early spring or late fall.,Propagate by division of roots or by seed. Plant seeds in fall or in spring after damp stratification. Clumps that form from spreading stolons can be divided in early spring or late fall.
Lonicera sempervirens,LOSE,The easiest way to propagate is by softwood or semi-hardwood cuttings taken from summer to fall. Layering is another means of propagation. Seed must be stratified.,The easiest way to propagate is by softwood or semi-hardwood cuttings taken from summer to fall. Layering is another means of propagation. Seed must be stratified.
Oenothera macrocarpa,OEMA,"This plant is easily propagated from seed, sown in spring or fall, or","This plant is easily propagated from seed, sown in spring or fall, or stem cuttings taken in early summer."
Leucothoe axillaris,LEAX,Directly sow seeds on moist peat. Firm cuttings root readily when treated with hormone.,Directly sow seeds on moist peat. Firm cuttings root readily when treated with hormone.
Polystichum acrostichoides,POAC4,Multiplied by division or spores.,Multiplied by division or spores.
Dryopteris marginalis,DRMA4,Propagate by root crown division and from spores.,Propagate by root crown division and from spores.
Calypso bulbosa,CABU,NA,NA
Comptonia peregrina,COPE80,"Root cuttings are the principal means of propagation. Place horizontally, 1/2 in. deep, in sand: sphagnum.","Root cuttings are the principal means of propagation. Place horizontally, 1/2 in. deep, in sand: sphagnum. Stem cuttings must be taken from juvenile growth. Collect juvenile stems 3 in. or less in length. Germination of seed is difficult."
Hepatica nobilis,HENO2,NA,NA
Hypoxis hirsuta,HYHI2,"Easily propagated by division while the plant is dormant in spring or fall. Separate the corms that form around the parent plant. Seeds should be sown in fall, barely covered with soil.","Easily propagated by division while the plant is dormant in spring or fall. Separate the corms that form around the parent plant. Seeds should be sown in fall, barely covered with soil."
Lobelia siphilitica,LOSI,"To propagate, divide clumps in the spring or scatch stratified seed lightly onto the soil surface.","To propagate, divide clumps in the spring or scatch stratified seed lightly onto the soil surface."
Penstemon hirsutus,PEHI,Propagate by seed.,Propagate by seed.
Sagittaria latifolia,SALA2,Propagation by seed is possible.,Propagation by seed is possible.
Anemonella thalictroides,THTH2,"Propagate by division, root cuttings or seed. Sow seeds in fall or provide cold stratification. Seedlings will flower the second or third year following germination.","Propagate by division, root cuttings or seed. Sow seeds in fall or provide cold stratification. Seedlings will flower the second or third year following germination."
Andromeda polifolia,ANPO,"Propagation is by seeds or cuttings, though layering is easiest.","Propagation is by seeds or cuttings, though layering is easiest."
Aquilegia formosa,AQFO,Easily propagated by seed. Seedlings around parent plant appear in summer and can be moved the following spring.,Easily propagated by seed. Seedlings around parent plant appear in summer and can be moved the following spring.
Asplenium trichomanes,ASTR2,Propagation is by rootstock division.,Propagation is by rootstock division.
Baptisia alba,BAAL,"Sow unstratified seed in fall or stratified seed in spring. Plant 1/2"" deep. Plants germinate quickly but do not flower for up to 3 years. The tough rootstock can be divided in the fall. The roots are deep, so dig deeply to avoid breakage. Cuttings can also be taken.","Sow unstratified seed in fall or stratified seed in spring. Plant 1/2"" deep. Plants germinate quickly but do not flower for up to 3 years. The tough rootstock can be divided in the fall. The roots are deep, so dig deeply to avoid breakage. Cuttings can also be taken."
Caltha palustris,CAPA5,Seeds should be sown immediately upon ripening and should not be allowed to dry out before sowing. Seedlings do not flower until the third year following germination. Also reproduces rapidly by division.,Seeds should be sown immediately upon ripening and should not be allowed to dry out before sowing. Seedlings do not flower until the third year following germination. Also reproduces rapidly by division.
Chamaedaphne calyculata,CHCA2,NA,NA
Clintonia borealis,CLBO3,"Usually propagated by dividing underground runners in fall or early spring, but may also be grown from seed planted immediately after ripening. Plant divisions 1 in. deep. Be careful when handling the rhizomes and roots, because they are brittle. Pulp-","Usually propagated by dividing underground runners in fall or early spring, but may also be grown from seed planted immediately after ripening. Plant divisions 1 in. deep. Be careful when handling the rhizomes and roots, because they are brittle. Pulp-"
Coptis trifolia,COTR2,Sow seeds outside as soon as they are ripe. Seeds will germinate after one winter and flower after two. Propagation is also possible by root cuttings.,Sow seeds outside as soon as they are ripe. Seeds will germinate after one winter and flower after two. Propagation is also possible by root cuttings.
Coreopsis tripteris,COTR4,Easily grown from seed. Mature plants may be increased by division.,Easily grown from seed. Mature plants may be increased by division.
Cornus canadensis,COCA13,"Sow seeds in fall or provide cold stratification. Avoid drying if possible. Plant 3/4"" deep. Plants will not flower until the third year. Cuttings, stuck in a 1:1 sand/peat mixture, should be taken below ground level in July or August.","Sow seeds in fall or provide cold stratification. Avoid drying if possible. Plant 3/4"" deep. Plants will not flower until the third year. Cuttings, stuck in a 1:1 sand/peat mixture, should be taken below ground level in July or August."
Dicentra canadensis,DICA,"Seeds should be sown as soon as ripe. Division of the root system involves transplanting the tiny tubers, which look like yellow peas, when the plant is dormant.","Seeds should be sown as soon as ripe. Division of the root system involves transplanting the tiny tubers, which look like yellow peas, when the plant is dormant."
Drosera filiformis,DRFI,NA,NA
Epilobium angustifolium,CHANA2,NA,Plant seeds outside in fall. Seeds will germinate most quickly if soils are moist and warm. Seedlings will flower the second year. Division is another propagation method.
Erythronium albidum,ERAL9,The easiest way to propagate is by marking the plants in the spring and digging the offsets in late summer. Set these small bulbs at least three inches deep and mulch well. Collect seed in the spring and plant immediately. Plants propagated from seed won't bloom until their third or fourth year.,The easiest way to propagate is by marking the plants in the spring and digging the offsets in late summer. Set these small bulbs at least three inches deep and mulch well. Collect seed in the spring and plant immediately. Plants propagated from seed won't bloom until their third or fourth year.
Erythronium americanum,ERAM5,The easiest way to propagate is by marking the plants in the spring and digging the offsets in late summer. Set these small bulbs at least three inches deep and mulch well. Propagation from seed takes a long time. Collect it in the spring.,The easiest way to propagate is by marking the plants in the spring and digging the offsets in late summer. Set these small bulbs at least three inches deep and mulch well. Propagation from seed takes a long time. Collect it in the spring.
